Time elapsed,10177230720,ns or,10.17723072,s
Time elapsed,10376226856,ns or,10.376226856,s
Time elapsed,10422451887,ns or,10.422451887,s
Time elapsed,10065515516,ns or,10.065515516,s
Time elapsed,10062705402,ns or,10.062705402,s
Time elapsed,10062737314,ns or,10.062737314,s
Time elapsed,10066403103,ns or,10.066403103,s
Time elapsed,10019135417,ns or,10.019135417,s
Time elapsed,10127728040,ns or,10.12772804,s
Time elapsed,10060905202,ns or,10.060905202,s
,,Total =,101.441039457,s
,,Mean =,10.1441039457,s
,,Average Mean=,5.07205197285,s
,,Average Mean(in minute)=,0.0845341995475,m
